Date,Open,High,Low,Close,Adj Close,Volume
03-09-2009,48.84,48.919998,48.428001,48.439999,48.439999,0
10-09-2009,48.569,48.639999,48.144001,48.146,48.146,0
17-09-2009,48.02,48.268002,47.943001,47.951,47.951,0
24-09-2009,47.959999,48.279999,47.717999,47.810001,47.810001,0
01-10-2009,47.810001,47.91,46.52,46.598,46.598,0
08-10-2009,46.598,46.678001,45.990002,46.018002,46.018002,0
15-10-2009,46.018002,46.592999,45.799999,46.400002,46.400002,0
22-10-2009,46.400002,47.362999,46.400002,47.178001,47.178001,0
29-10-2009,47.178001,47.619999,46.799999,46.799999,46.799999,0
05-11-2009,47.049999,47.240002,46.278,46.408001,46.408001,0
12-11-2009,46.299999,46.702999,45.990002,46.099998,46.099998,0
19-11-2009,46.099998,46.757999,45.990002,46.009998,46.009998,0
26-11-2009,45.84,47.064999,45.84,46.200001,46.200001,0
03-12-2009,46.200001,46.849998,46,46.528,46.528,0
10-12-2009,46.528,46.75,46.473,46.588001,46.588001,0
17-12-2009,46.66,46.958,46.66,46.75,46.75,0
24-12-2009,46.75,46.77,46.450001,46.5,46.5,0
31-12-2009,46.5,46.689999,45.700001,45.720001,45.720001,0
07-01-2010,45.737999,45.877998,45.223,45.487999,45.487999,0
14-01-2010,45.487999,46.118,45.424999,46.118,46.118,0
21-01-2010,46.118,46.548,45.848,46.318001,46.318001,0
28-01-2010,46.318001,46.424999,45.900002,45.900002,45.900002,0
04-02-2010,45.970001,46.868,45.970001,46.377998,46.377998,0
11-02-2010,46.485001,46.507999,45.950001,46.007999,46.007999,0
18-02-2010,46.007999,46.4725,46.007999,46.287998,46.287998,0
25-02-2010,46.287998,46.487999,45.540001,45.549999,45.549999,0
04-03-2010,45.549999,45.888,45.25,45.310001,45.310001,0
11-03-2010,45.310001,45.669998,45.27,45.279999,45.279999,0
18-03-2010,45.292999,45.627998,45.25,45.400002,45.400002,0
25-03-2010,45.423,45.700001,44.790001,44.799999,44.799999,0
